OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
FENGYUN 1C,1999-025A,2021-03-01T01:08:46.068288,14.16107700,.0012153,99.0615,80.9958,0.5128,15.9762,0,U,25730,999,12368,.3062E-3,.559E-5,0
FENGYUN 1C DEB,1999-025X,2021-03-01T08:18:58.631616,12.92096903,.0580202,99.2291,7.8420,256.3955,265.2293,0,U,29733,999,66524,-.56605E-3,-.363E-5,0
FENGYUN 1C DEB,1999-025Y,2021-03-01T13:18:54.400320,12.84249705,.0629872,99.1544,268.3679,28.4022,358.5528,0,U,29734,999,66074,.12563E-2,.683E-5,0
FENGYUN 1C DEB,1999-025Z,2021-02-28T23:37:57.866592,12.68193490,.0721991,99.3636,257.5127,60.1757,306.9124,0,U,29735,999,65216,.11001E-2,.577E-5,0
FENGYUN 1C DEB,1999-025AA,2021-03-01T07:30:22.472640,12.54399350,.0731186,99.4386,193.4618,330.8961,51.7746,0,U,29736,999,64614,.80876E-3,.319E-5,0
FENGYUN 1C DEB,1999-025AB,2021-02-28T14:36:40.080672,12.60095132,.0725371,99.5780,290.5724,300.7423,76.7859,0,U,29737,999,64813,-.34803E-3,-.205E-5,0
FENGYUN 1C DEB,1999-025AC,2021-03-01T05:17:00.006144,12.51122673,.0869131,99.4317,176.7332,86.5454,283.4522,0,U,29738,999,64296,-.1762E-2,-.1139E-4,0
FENGYUN 1C DEB,1999-025AE,2021-03-01T09:05:13.375392,12.03501182,.1007063,99.0421,34.5149,65.7229,304.5643,0,U,29740,999,61882,.85795E-3,.313E-5,0
FENGYUN 1C DEB,1999-025AF,2021-02-28T22:17:32.654688,11.96300902,.1028624,99.1792,54.6785,234.7688,152.9161,0,U,29741,999,31251,.18254E-3,.36E-6,0
FENGYUN 1C DEB,1999-025AL,2021-03-01T09:18:44.616960,12.38910309,.0960668,99.5269,31.6172,103.3772,267.6088,0,U,29746,999,60815,.4384E-1,.29792E-3,0
FENGYUN 1C DEB,1999-025AN,2021-02-28T06:59:29.608224,11.60043957,.0924105,100.5336,59.3659,261.6598,87.8759,0,U,29748,999,58247,.13254E-1,.1886E-4,0
FENGYUN 1C DEB,1999-025AQ,2021-03-01T14:12:44.265600,14.07737596,.0036703,98.9657,99.9075,176.0468,335.7213,0,U,29750,999,72479,-.12945E-4,-.66E-6,0
FENGYUN 1C DEB,1999-025AR,2021-03-01T08:08:15.080352,14.21859306,.0091804,98.7546,99.9320,163.9791,259.0674,0,U,29751,999,73230,.42195E-4,.53E-6,0
FENGYUN 1C DEB,1999-025AT,2021-03-01T10:22:32.576736,14.54943759,.0057995,98.8710,323.8302,240.7673,118.7715,0,U,29753,999,74154,.45309E-3,.1939E-4,0
FENGYUN 1C DEB,1999-025AU,2021-03-01T04:30:53.941248,14.11663080,.0041242,98.8925,151.9214,160.1474,267.0778,0,U,29754,999,72652,.3074E-3,.52E-5,0
FENGYUN 1C DEB,1999-025AW,2021-03-01T02:40:28.953408,14.45488654,.0049707,99.2432,121.4506,155.1017,205.2586,0,U,29756,999,73922,.41711E-3,.144E-4,0
FENGYUN 1C DEB,1999-025AY,2021-03-01T10:48:21.638880,14.18142142,.0027968,98.8862,136.9588,328.5656,159.5390,0,U,29758,999,72777,.44677E-3,.876E-5,0
FENGYUN 1C DEB,1999-025BA,2021-03-01T12:23:20.278752,14.06680699,.0134161,98.8455,89.2979,53.6856,307.6614,0,U,29760,999,72518,.10257E-3,.142E-5,0
FENGYUN 1C DEB,1999-025BC,2021-03-01T13:16:20.850240,14.19298273,.0212761,98.5289,82.6200,4.0455,146.3434,0,U,29762,999,73144,.50997E-4,.89E-6,0
FENGYUN 1C DEB,1999-025BD,2021-03-01T12:21:12.877632,14.06122825,.0131468,98.7051,84.0132,68.3366,94.3974,0,U,29763,999,72484,.15992E-3,.243E-5,0
FENGYUN 1C DEB,1999-025BF,2021-03-01T01:25:44.620608,14.01603110,.0056952,99.0139,96.4483,271.3430,119.5656,0,U,29765,999,72265,-.13676E-3,-.255E-5,0
FENGYUN 1C DEB,1999-025BG,2021-03-01T02:31:44.006880,13.89496147,.015858,98.6519,106.6703,68.3326,346.5802,0,U,29766,999,71487,.30718E-3,.377E-5,0
FENGYUN 1C DEB,1999-025BH,2021-03-01T01:48:26.468640,13.87895065,.0381767,98.2203,198.7932,278.4989,142.6076,0,U,29767,999,71264,.33414E-3,.666E-5,0
FENGYUN 1C DEB,1999-025BK,2021-03-01T11:14:11.082912,14.03568078,.0101433,99.2256,71.1581,311.4264,47.8220,0,U,29769,999,72107,.30793E-3,.459E-5,0
FENGYUN 1C DEB,1999-025BL,2021-03-01T02:51:22.671360,14.08726920,.0074906,98.9559,125.4210,179.2469,211.2494,0,U,29770,999,72410,.31689E-3,.516E-5,0
FENGYUN 1C DEB,1999-025BN,2021-03-01T09:14:14.427744,13.96415193,.01475,98.4265,25.1390,149.8213,1.7056,0,U,29772,999,71822,.2294E-3,.309E-5,0
FENGYUN 1C DEB,1999-025BP,2021-03-01T07:23:36.461760,14.23226416,.0049616,98.8070,171.3332,296.6327,125.3399,0,U,29773,999,73314,.99002E-4,.181E-5,0
FENGYUN 1C DEB,1999-025BQ,2021-03-01T14:51:05.609952,14.20972019,.0052687,99.1428,292.5827,76.4580,310.6434,0,U,29774,999,73252,.50873E-4,.65E-6,0
FENGYUN 1C DEB,1999-025BR,2021-03-01T05:41:00.795264,14.93191730,.0056261,99.0438,252.1751,48.8999,311.7055,0,U,29775,999,75405,.36254E-3,.3829E-4,0
FENGYUN 1C DEB,1999-025BS,2021-03-01T14:22:04.065888,14.06604995,.0024891,98.9799,98.7943,132.5812,18.8049,0,U,29776,999,72510,-.68004E-4,-.157E-5,0
FENGYUN 1C DEB,1999-025BT,2021-03-01T12:51:53.093952,13.91340335,.0093151,99.4841,73.7843,231.6069,281.1163,0,U,29777,999,71739,.42818E-5,-.42E-6,0
FENGYUN 1C DEB,1999-025BV,2021-03-01T08:00:53.674848,14.11474932,.0066139,98.8219,94.2403,91.0276,269.8474,0,U,29779,999,72749,.45341E-4,.41E-6,0
FENGYUN 1C DEB,1999-025BW,2021-03-01T05:14:29.542272,14.08827460,.0045927,99.3639,249.7980,340.4423,19.4982,0,U,29780,999,72398,.3605E-3,.58E-5,0
FENGYUN 1C DEB,1999-025BX,2021-03-01T01:38:36.125952,14.00876421,.0076122,98.8746,90.4157,12.9830,6.9482,0,U,29781,999,72147,.16957E-3,.217E-5,0
FENGYUN 1C DEB,1999-025BY,2021-03-01T13:17:48.996384,14.02777712,.006021,99.2148,73.1015,17.7536,141.6331,0,U,29782,999,72117,.54156E-3,.805E-5,0
FENGYUN 1C DEB,1999-025BZ,2021-03-01T08:36:00.927648,14.84387716,.0079594,98.9365,194.7106,12.8165,11.3193,0,U,29783,999,75399,.28138E-3,.2429E-4,0
FENGYUN 1C DEB,1999-025CA,2021-03-01T03:37:50.439936,14.25671213,.006286,99.1050,265.3761,307.7987,167.3372,0,U,29784,999,73429,.83911E-4,.155E-5,0
FENGYUN 1C DEB,1999-025CB,2021-03-01T12:04:01.894080,14.65374549,.0070125,99.0197,131.7944,28.5938,331.9081,0,U,29785,999,74730,.32382E-3,.1753E-4,0
FENGYUN 1C DEB,1999-025CC,2021-03-01T08:36:46.557216,14.07784784,.007907,98.9121,96.2006,184.3447,298.2765,0,U,29786,999,72566,-.23416E-4,-.85E-6,0
FENGYUN 1C DEB,1999-025CE,2021-03-01T04:35:26.918592,14.12956402,.0052464,98.9030,119.2578,142.9420,288.0131,0,U,29788,999,72598,.37588E-3,.665E-5,0
FENGYUN 1C DEB,1999-025CF,2021-03-01T08:20:40.542144,13.49000928,.0309571,99.5757,296.5276,339.2622,85.2130,0,U,29789,999,69392,.64593E-3,.5E-5,0
FENGYUN 1C DEB,1999-025CG,2021-03-01T12:22:36.534432,14.27919542,.0081311,99.0358,323.1763,194.7621,165.1183,0,U,29790,999,73563,.69718E-4,.131E-5,0
FENGYUN 1C DEB,1999-025CH,2021-03-01T06:09:26.649216,14.34371138,.0059618,99.0104,305.6550,194.8087,284.2800,0,U,29791,999,73661,.24408E-3,.652E-5,0
FENGYUN 1C DEB,1999-025CJ,2021-03-01T02:51:05.155488,14.06485794,.0052118,98.9113,122.1598,285.3848,74.1566,0,U,29792,999,72317,.18281E-3,.262E-5,0
FENGYUN 1C DEB,1999-025CK,2021-03-01T13:23:40.367040,13.94695212,.0151116,98.4368,4.9506,187.9660,229.2344,0,U,29793,999,71752,.51049E-3,.713E-5,0
FENGYUN 1C DEB,1999-025CL,2021-03-01T11:05:52.396800,14.04122990,.0166716,98.2688,356.7647,348.3400,77.4581,0,U,29794,999,72297,.22729E-3,.368E-5,0
FENGYUN 1C DEB,1999-025CM,2021-03-01T11:54:37.683072,13.91881466,.0113921,98.7238,262.5414,36.7895,353.3131,0,U,29795,999,71752,.94801E-4,.87E-6,0
FENGYUN 1C DEB,1999-025CN,2021-03-01T01:33:18.426240,14.07380135,.0057909,99.0470,101.0083,137.1036,253.0657,0,U,29796,999,72446,.17157E-3,.248E-5,0
