OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ISS (ZARYA),1998-067A,2021-09-01T13:41:46.556736,15.48581759,.0003047,51.6441,325.0120,341.4395,157.1128,0,U,25544,999,30043,.92349E-4,.4569E-4,0
KESTREL EYE IIM (KE2M),1998-067NE,2021-08-28T04:25:50.228832,16.47738748,.0004067,51.6031,163.4512,236.9008,231.4622,0,U,42982,999,22031,.1332E-3,.7755765E-1,.12577E-4
AEROCUBE 12A,2018-046C,2021-09-01T06:23:29.718816,15.32244190,.0008246,51.6396,143.9759,78.0297,282.1609,0,U,43556,999,17490,.17094E-3,.5037E-4,0
AEROCUBE 12B,2018-046D,2021-09-01T07:51:13.467744,15.31583807,.000839,51.6405,145.8412,76.4942,283.6973,0,U,43557,999,17483,.1513E-3,.432E-4,0
LEMUR-2-VU,2018-046E,2021-09-01T02:45:38.118528,15.34692573,.0007558,51.6392,135.6951,84.5152,275.6693,0,U,43558,999,17499,.27544E-3,.904E-4,0
LEMUR-2-ALEXANDER,2018-046F,2021-09-01T05:14:19.362624,15.34960743,.0007591,51.6398,134.1578,84.2541,275.9307,0,U,43559,999,17480,.21755E-3,.712E-4,0
LEMUR-2-YUASA,2018-046G,2021-09-01T02:03:21.181248,15.34655157,.0007867,51.6401,136.2455,95.2006,264.9874,0,U,43560,999,17498,.23653E-3,.7698E-4,0
LEMUR-2-TOMHENDERSON,2018-046H,2021-09-01T07:31:58.086336,15.34273673,.0007865,51.6397,136.2478,92.2295,267.9588,0,U,43561,999,17456,.22047E-3,.706E-4,0
1998-067PN,1998-067PN,2021-09-01T08:25:24.789504,16.01095537,.000339,51.6228,205.2125,88.9284,271.2115,0,U,43638,999,16615,.4594E-3,.254658E-2,.3871E-4
ISS DEB (SEDA-AP),1998-067PU,2021-09-01T10:32:09.513600,15.63669231,.0002483,51.6342,267.2286,266.6739,93.3972,0,U,43870,999,15351,.10507E-3,.9455E-4,0
UNITE,1998-067PX,2021-09-01T07:58:28.801920,15.88516356,.0003015,51.6356,230.3134,51.4130,308.7145,0,U,44031,999,14769,.36623E-3,.10499E-2,0
ISS DEB,1998-067QA,2021-09-01T11:57:34.163712,15.60877907,.0003962,51.6381,290.3605,161.6958,198.4179,0,U,44303,999,12848,.12645E-3,.10272E-3,0
ISS DEB,1998-067QD,2021-09-01T08:32:12.614784,15.61741891,.0004961,51.6367,290.0389,160.6861,199.4322,0,U,44306,999,12848,.14125E-3,.11943E-3,0
RAAVANA-1,1998-067QE,2021-09-01T10:01:24.794976,15.91148421,.0003348,51.6296,249.6843,46.4836,313.6448,0,U,44329,999,12619,.5403E-3,.172777E-2,.22141E-4
UGUISU,1998-067QF,2021-09-01T09:30:47.735712,15.89560624,.0002882,51.6250,250.9160,48.5267,311.5986,0,U,44330,999,12615,.51069E-3,.15553E-2,0
NEPALISAT-1,1998-067QG,2021-09-01T10:07:04.488672,15.90831672,.0003225,51.6268,249.5927,47.1059,313.0218,0,U,44331,999,12618,.5293E-3,.166396E-2,.21297E-4
SPOOQY-1,1998-067QH,2021-09-01T10:49:40.329408,15.88231862,.0003187,51.6285,251.3640,42.7797,317.3456,0,U,44332,999,12612,.47992E-3,.136369E-2,0
RED-EYE 1 (PINOT),1998-067QJ,2021-09-01T09:35:42.224928,15.60871506,.0005256,51.6386,291.9449,160.5291,199.5904,0,U,44364,999,12404,.13847E-3,.11299E-3,0
KRAKSAT,1998-067QM,2021-09-01T11:44:53.493792,15.71630886,.0002038,51.6385,272.6978,107.4079,37.3951,0,U,44427,999,12341,.29722E-3,.38661E-3,0
VCC A,1998-067QN,2021-09-01T11:12:09.638208,15.85311451,.0003195,51.6311,256.1518,50.6583,309.4703,0,U,44428,999,12363,.44105E-3,.108137E-2,0
VCC B,1998-067QR,2021-09-01T10:25:32.226528,15.86927040,.0003801,51.6266,255.0414,53.0943,307.0410,0,U,44431,999,12358,.48571E-3,.129283E-2,0
RWASAT-1,1998-067QV,2021-09-01T09:41:46.768128,15.61989203,.0004226,51.6371,296.9572,226.3412,223.5750,0,U,44790,999,10131,.11951E-3,.1012E-3,0
AQT-D,1998-067QW,2021-09-01T12:53:20.469408,15.62290594,.0004146,51.6380,296.6495,185.9005,174.1940,0,U,44791,999,10133,.20245E-3,.17741E-3,0
NARSSCUBE-1,1998-067QX,2021-09-01T12:09:54.988416,15.71935642,.000048,51.6344,283.5371,276.1205,83.9738,0,U,44792,999,10150,.32033E-3,.42277E-3,0
STPSAT-4,1998-067QY,2021-09-01T10:10:19.990272,15.55417623,.0004173,51.6409,314.5726,194.4682,165.6190,0,U,45043,999,9032,.13313E-3,.8763E-4,0
HARP,1998-067QZ,2021-09-01T12:58:26.594112,15.61413114,.0004348,51.6420,303.4419,190.5607,169.5296,0,U,45256,999,8715,.23016E-3,.19558E-3,0
1998-067RA,1998-067RA,2021-09-01T09:29:00.498624,15.59820128,.0005062,51.6382,306.1279,195.8677,164.2159,0,U,45257,999,8710,.2016E-3,.16026E-3,0
PHOENIX,1998-067RB,2021-09-01T12:45:13.099968,15.58302118,.0004366,51.6393,307.7829,170.9890,189.1181,0,U,45258,999,8706,.17403E-3,.12968E-3,0
1998-067RC,1998-067RC,2021-09-01T09:39:10.448064,15.65486282,.0002894,51.6375,298.6666,199.6594,160.4291,0,U,45259,999,8720,.28749E-3,.28918E-3,0
CRYOCUBE,1998-067RD,2021-09-01T11:50:56.036832,15.70930581,.0000953,51.6349,294.7459,229.5144,130.5771,0,U,45260,999,8727,.46946E-3,.59772E-3,0
AZTECHSAT-1,1998-067RE,2021-09-01T09:10:50.566080,15.71215786,.0001354,51.6339,291.7172,214.9580,145.1329,0,U,45261,999,8729,.37191E-3,.47732E-3,0
RADSAT-U,1998-067RF,2021-09-01T07:50:45.380832,15.60308774,.0004007,51.6415,305.7573,238.6880,121.3721,0,U,45262,999,8711,.21147E-3,.1716E-3,0
QARMAN,1998-067RG,2021-09-01T09:32:47.258016,15.65431780,.0002896,51.6375,299.3810,192.8953,167.1969,0,U,45263,999,8722,.30409E-3,.30559E-3,0
SORTIE,1998-067RH,2021-09-01T11:09:10.869696,15.56166561,.0005934,51.6421,311.8958,196.4143,163.6657,0,U,45264,999,8703,.15202E-3,.10373E-3,0
ICS-EF (ISS DEB),1998-067RJ,2021-09-01T09:58:58.010016,15.53143151,.0004542,51.6416,318.2567,192.6398,167.4479,0,U,45265,999,8662,.95543E-4,.5633E-4,0
G-SAT,1998-067RK,2021-09-01T10:27:42.594624,15.60136123,.0002869,51.6400,307.1819,273.6441,86.4224,0,U,45597,999,7646,.22604E-3,.18255E-3,0
QUETZAL-1,1998-067RL,2021-09-01T10:05:42.473472,15.62892038,.0002034,51.6393,304.8224,333.7637,26.3254,0,U,45598,999,7642,.28043E-3,.25396E-3,0
RED-EYE 2 (MERLOT),1998-067RM,2021-09-01T12:02:41.799552,15.54418273,.0000429,51.6423,316.6224,202.6874,157.4098,0,U,45800,999,6851,.12544E-3,.7921E-4,0
RED-EYE 3 (CABERNET),1998-067RN,2021-09-01T12:02:58.935264,15.54424269,.000067,51.6423,316.6241,179.7044,180.3948,0,U,45809,999,6749,.12531E-3,.7914E-4,0
DEMI,1998-067RP,2021-09-01T11:45:57.941280,15.61523972,.0001911,51.6403,307.5603,100.6562,259.4648,0,U,45916,999,6460,.27269E-3,.23377E-3,0
SPOC,1998-067RR,2021-09-01T13:02:24.078336,15.55950928,.0002586,51.6423,316.1733,12.1311,347.9742,0,U,46921,999,4670,.18927E-3,.12929E-3,0
BOBCAT-1,1998-067RS,2021-09-01T10:57:55.371168,15.58469217,.0002728,51.6422,314.1241,15.7760,344.3317,0,U,46922,999,4668,.26217E-3,.19935E-3,0
NEUTRON-1,1998-067RT,2021-09-01T12:01:17.877504,15.55823141,.0002601,51.6422,316.6365,22.6086,337.5020,0,U,46923,999,4672,.17916E-3,.12152E-3,0
1998-067RU,1998-067RU,2021-09-01T10:45:19.353888,15.64669801,.000348,51.6388,308.7562,28.0525,332.0657,0,U,46924,999,4679,.43106E-3,.42302E-3,0
LEMUR-2-BAXTER-OLIVER,1998-067RV,2021-09-01T09:42:03.851136,15.66483657,.0003355,51.6418,307.7716,33.5582,326.5626,0,U,46925,999,4676,.4693E-3,.49648E-3,0
LEMUR-2-DJARA,1998-067RW,2021-09-01T12:24:40.281696,15.64560391,.0002626,51.6423,308.5285,35.6690,324.4480,0,U,46926,999,4678,.41697E-3,.4071E-3,0
DESCENT,1998-067RX,2021-09-01T10:36:33.499296,15.55828158,.0002748,51.6421,316.9897,37.9448,322.1737,0,U,46927,999,4662,.17849E-3,.12107E-3,0
ISS DEB,1998-067RZ,2021-09-01T11:31:12.428544,15.49833517,.0003002,51.6445,324.7195,22.8589,337.2533,0,U,47853,999,2705,.51212E-4,.2452E-4,0
RSP-01,1998-067SB,2021-09-01T11:02:17.548512,15.53231283,.0002372,51.6430,322.3469,337.4897,22.5989,0,U,47925,999,2658,.19942E-3,.12324E-3,0
TAUSAT-1,1998-067SC,2021-09-01T12:36:07.770816,15.54133001,.0003492,51.6419,321.2779,331.9130,28.1672,0,U,47926,999,2659,.23452E-3,.15079E-3,0
TSURU,1998-067SD,2021-09-01T11:25:26.679936,15.52910738,.0002317,51.6434,322.4540,335.0913,24.9965,0,U,47927,999,2658,.19453E-3,.11867E-3,0
STARS-EC,1998-067SE,2021-09-01T12:21:19.504512,15.53752222,.000607,51.6426,321.9549,30.9123,329.2223,0,U,47928,999,2657,.27155E-3,.17301E-3,0
MMSATS-1,1998-067SJ,2021-09-01T13:51:09.937440,15.50471885,.0002975,51.6465,323.8426,26.0585,334.0553,0,U,47976,999,2535,.1072E-3,.5768E-4,0
SOYUZ-MS 18,2021-029A,2021-09-01T13:41:46.556736,15.48581759,.0003047,51.6441,325.0120,341.4395,157.1128,0,U,48159,999,30043,.92349E-4,.4569E-4,0
CREW DRAGON 2,2021-030A,2021-09-01T13:41:46.556736,15.48581759,.0003047,51.6441,325.0120,341.4395,157.1128,0,U,48209,999,30043,.92349E-4,.4569E-4,0
TIANHE,2021-035A,2021-09-01T07:18:52.420896,15.63244668,.0006608,41.4695,178.5442,164.5134,333.4638,0,U,48274,999,1960,.1017E-3,.926E-4,0
TIANZHOU-2,2021-046A,2021-09-01T07:18:52.420896,15.63244668,.0006608,41.4695,178.5442,164.5134,333.4638,0,U,48803,999,1960,.1017E-3,.926E-4,0
RAMSAT,1998-067SL,2021-09-01T11:29:19.178880,15.50707847,.0004734,51.6430,324.6958,59.4769,300.6687,0,U,48850,999,1230,.16317E-3,.9102E-4,0
SOAR,1998-067SM,2021-09-01T11:52:35.282784,15.53003766,.0005052,51.6408,324.0484,36.8240,323.3097,0,U,48851,999,1235,.46686E-3,.29314E-3,0
SHENZHOU-12,2021-053A,2021-09-01T07:18:52.420896,15.63244668,.0006608,41.4695,178.5442,164.5134,333.4638,0,U,48852,999,1960,.1017E-3,.926E-4,0
BD-28,1998-067SP,2021-09-01T11:24:10.924416,15.50920500,.0003291,51.6431,324.6741,86.7001,273.4365,0,U,48867,999,1105,.17154E-3,.9667E-4,0
MIR-SAT 1,1998-067SN,2021-09-01T11:18:55.204128,15.51476908,.0003414,51.6429,324.6490,47.7158,312.4120,0,U,48868,999,1108,.29242E-3,.17164E-3,0
